name,confirmed,recovered,death,added_date
浦东新区,56,12,-,20200214
宝山区,20,1,-,20200214
闵行区,18,4,-,20200214
徐汇区,17,2,-,20200214
静安区,16,3,-,20200214
松江区,14,1,-,20200214
长宁区,13,3,-,20200214
普陀区,11,-,-,20200214
嘉定区,9,1,-,20200214
杨浦区,9,1,-,20200214
奉贤区,9,1,-,20200214
虹口区,7,2,-,20200214
黄浦区,6,1,-,20200214
青浦区,5,2,-,20200214
金山区,3,1,-,20200214
崇明区,3,-,-,20200214
外地来沪人员,102,27,-,20200214
待确认,-,28,1,20200214
沧州,45,12,2,20200214
唐山,43,4,-,20200214
张家口,31,4,-,20200214
保定,31,11,-,20200214
邯郸,31,7,-,20200214
廊坊,29,12,-,20200214
石家庄,27,7,-,20200214
邢台,22,8,1,20200214
秦皇岛,9,2,-,20200214
衡水,8,4,-,20200214
承德,7,3,-,20200214
福州,66,17,-,20200214
莆田,54,8,-,20200214
泉州,44,13,-,20200214
厦门,34,4,-,20200214
宁德,25,5,-,20200214
南平,20,3,-,20200214
漳州,19,3,-,20200214
三明,13,1,-,20200214
龙岩,6,1,-,20200214
待确认,-,4,-,20200214
西安,114,20,-,20200214
安康,23,5,-,20200214
汉中,21,1,-,20200214
咸阳,17,4,-,20200214
渭南,14,-,-,20200214
宝鸡,13,7,-,20200214
延安,8,6,-,20200214
铜川,8,4,-,20200214
商洛,7,1,-,20200214
榆林,3,1,-,20200214
韩城,1,-,-,20200214
杨凌示范区,1,-,-,20200214
待确认,-,4,-,20200214
南宁,47,9,-,20200214
北海,40,3,1,20200214
桂林,31,5,-,20200214
柳州,22,4,-,20200214
河池,21,-,1,20200214
防城港,17,1,-,20200214
来宾,11,-,-,20200214
玉林,9,1,-,20200214
钦州,8,-,-,20200214
贵港,8,2,-,20200214
梧州,5,5,-,20200214
贺州,4,-,-,20200214
百色,3,-,-,20200214
待确认,-,5,-,20200214
昆明,48,7,-,20200214
昭通,19,2,-,20200214
西双版纳傣族自治州,15,2,-,20200214
玉溪,14,3,-,20200214
大理州,13,3,-,20200214
曲靖,13,1,-,20200214
保山,9,-,-,20200214
红河州,8,3,-,20200214
丽江,7,2,-,20200214
德宏州,5,-,-,20200214
普洱,4,-,-,20200214
楚雄州,4,-,-,20200214
文山,2,-,-,20200214
临沧,1,-,-,20200214
待确认,-,4,-,20200214
三亚,54,14,1,20200214
海口,30,6,-,20200214
儋州,15,2,-,20200214
万宁,13,1,-,20200214
澄迈,8,1,1,20200214
昌江黎族自治县,7,-,-,20200214
琼海,6,-,1,20200214
临高,6,2,-,20200214
陵水黎族自治县,4,-,-,20200214
东方,3,1,-,20200214
定安,3,1,1,20200214
文昌,3,1,-,20200214
保亭黎族苗族自治县,3,-,-,20200214
乐东黎族自治县,2,-,-,20200214
琼中黎族苗族自治县,1,1,-,20200214
贵阳,34,4,-,20200214
遵义,28,1,-,20200214
毕节地区,23,4,-,20200214
黔南州,17,5,-,20200214
六盘水,10,3,1,20200214
黔东南州,10,2,-,20200214
铜仁地区,10,6,-,20200214
黔西南州,4,3,-,20200214
安顺,4,-,-,20200214
晋中,35,11,-,20200214
运城,19,8,-,20200214
太原,18,3,-,20200214
大同,12,4,-,20200214
长治,8,-,-,20200214
晋城,8,2,-,20200214
朔州,7,2,-,20200214
忻州,7,-,-,20200214
吕梁,6,5,-,20200214
阳泉,4,-,-,20200214
临汾,2,1,-,20200214
宝坻区,46,1,1,20200214
河东区,14,2,-,20200214
河北区,12,2,-,20200214
和平区,6,1,-,20200214
南开区,6,-,-,20200214
北辰区,6,-,-,20200214
西青区,4,2,-,20200214
河西区,4,1,-,20200214
宁河区,4,-,-,20200214
东丽区,4,-,-,20200214
滨海新区,3,-,-,20200214
红桥区,2,1,-,20200214
武清区,2,-,-,20200214
津南区,1,-,-,20200214
外地来津人员,6,1,-,20200214
待确认,-,10,2,20200214
沈阳,28,9,-,20200214
大连,17,4,-,20200214
锦州,12,1,-,20200214
葫芦岛,11,-,1,20200214
盘锦,11,-,-,20200214
阜新,8,-,-,20200214
铁岭,7,1,-,20200214
丹东,7,4,-,20200214
朝阳,6,2,-,20200214
辽阳,3,1,-,20200214
本溪,3,1,-,20200214
鞍山,3,-,-,20200214
营口,1,1,-,20200214
兰州,35,2,2,20200214
天水,12,6,-,20200214
定西,10,2,-,20200214
平凉,9,-,-,20200214
甘南州,8,2,-,20200214
陇南,4,1,-,20200214
白银,4,-,-,20200214
临夏州,3,3,-,20200214
庆阳,3,1,-,20200214
张掖,2,2,-,20200214
金昌,1,1,-,20200214
待确认,-,19,-,20200214
长春,43,13,-,20200214
四平,14,2,1,20200214
公主岭,6,2,-,20200214
辽源,6,1,-,20200214
延边,5,2,-,20200214
吉林市,5,3,-,20200214
通化,3,-,-,20200214
松原,2,1,-,20200214
白城,1,-,-,20200214
梅河口,1,1,-,20200214
银川,32,12,-,20200214
吴忠,25,6,-,20200214
固原,5,2,-,20200214
中卫,3,2,-,20200214
宁东管委会,1,1,-,20200214
石嘴山,1,1,-,20200214
乌鲁木齐,23,2,-,20200214
伊犁州,14,1,-,20200214
第四师,10,-,-,20200214
第九师,4,-,-,20200214
昌吉州,4,-,-,20200214
巴音郭楞蒙古自治州,3,-,-,20200214
第八师,2,-,1,20200214
第七师,1,1,-,20200214
吐鲁番地区,1,1,-,20200214
阿克苏地区,1,1,-,20200214
第六师,1,-,-,20200214
第十二师,1,-,-,20200214
包头,11,-,-,20200214
鄂尔多斯,11,2,-,20200214
呼和浩特,7,-,-,20200214
赤峰,7,2,-,20200214
呼伦贝尔,6,1,-,20200214
巴彦淖尔,6,-,-,20200214
通辽,6,-,-,20200214
锡林郭勒盟,5,1,-,20200214
乌兰察布,3,-,-,20200214
乌海,2,-,-,20200214
兴安盟,1,-,-,20200214
西宁,15,9,-,20200214
海北州,3,0,-,20200214
待确认,-,2,-,20200214
拉萨,1,1,-,20200214
